序号,院校代码,院校名称,专业组序号,专业序号,专业名称
1,1104,南京理工大学,03,11,计算机类(计算机科学与技术、软件工程、智能科学与技术)
2,1106,南京信息工程大学,11,67,计算机类(计算机科学与技术、软件工程、物联网工程、信息安全)
3,2101,复旦大学,06,20,计算机科学与技术(本研衔接培养)
4,2104,华东理工大学,02,16,计算机类(其中软件工程专业学费为5000元/年)
5,2301,中国科学技术大学,01,07,计算机类(计算机科学与技术、数据科学与大数据技术)
,,,,09,工科试验班[计算机类(华夏计算机科技英才班)、电子信息类(信息科技英才班)、电子信息类(网络空间科技英才班)、电子信息类(集成电路科技英才班)、力学类(钱学森力学科技英才班)](拔尖计划科技英才班)
6,3113,北京邮电大学,01,03,计算机类(计算机科学与技术、网络工程、数据科学与大数据技术)
7,4301,哈尔滨工业大学,01,03,工科试验班(计算机与电子通信)
8,5201,武汉大学,03,22,计算机类(计算机学院)(含拔尖学生培养基地)
,,,,31,工科试验班(计算机类、智能制造工程、智能建造)(弘毅学堂)(拔尖学生培养基地)
,,,,16,计算机类(国家网络安全学院)
9,5202,华中科技大学,02,18,计算机类(计算机学院)
,,,,28,计算机科学与技术(计算机卓越实验班)
10,5418,哈尔滨工业大学(深圳),02,03,计算机类
11,6104,电子科技大学,01,04,计算机类
,,,,05,计算机科学与技术(计算机拔尖人才实验班)
12,2201,浙江大学,04,16,工科试验班(信息)
13,2103,上海交通大学,02,03,电子信息类(IEEE试点班)(含电子信息类(IEEE试点 班)+数学与应用数学双学士学位培养项目)
14,2103,上海交通大学,03,07,工科试验班类(电子信息类、生物医学工程)
15,2102,同济大学,03,07,工科试验班(信息类)(含测绘工程+应用物理学、视觉传达设计+人工智能双学士学位培养项目)(其中软件工程专业第二学年学费为6500元/年，三、四学年学费为16000元/年)
16,3106,北京航空航天大学,02,02,工科试验班类(计算机拔尖计划)(报考该专业有色觉要求，详询院校)
,,,,08,工科试验班类(信息类)(沙河校区)
17,7104,西安交通大学,03,05,计算机科学与技术(拔尖学生培养基地)
18,3107,北京理工大学,02,02,工科试验班(徐特立英才班)
,,,,05,工科试验班(信息科学技术)
19,7105,西安电子科技大学,01,02,计算机类
20,1102,东南大学,05,16,计算机类(计算机科学与技术、人工智能、网络空间安全、软件工程)
,,,,17,工科试验班(信息工程等四年制理工科类各专业)(吴健雄班)
21,5402,华南理工大学,05,25,计算机类
